sim_time, /gazebo/default/iris/gps0/link/gps?p=/altitude
479.54, 0.104194
479.74, 0.104194
479.94, 0.104194
480.14, 0.104194
480.34, 0.104195
480.54, 0.104195
480.74, 0.104195
480.94, 0.104195
481.14, 0.104195
481.34, 0.104195
481.54, 0.104195
481.74, 0.104195
481.94, 0.104195
482.14, 0.104195
482.34, 0.104195
482.54, 0.104195
482.74, 0.104195
482.94, 0.104196
483.14, 0.104198
483.34, 0.104201
483.54, 0.104203
483.74, 0.104205
483.94, 0.104207
484.14, 0.104209
484.34, 0.104211
484.54, 0.104214
484.74, 0.104216
484.94, 0.104218
485.14, 0.10422
485.34, 0.104222
485.54, 0.104225
485.74, 0.104227
485.94, 0.104229
486.14, 0.104231
486.34, 0.104233
486.54, 0.104235
486.74, 0.104238
486.94, 0.10424
487.14, 0.104242
487.34, 0.104244
487.54, 0.104246
487.74, 0.104248
487.94, 0.104251
488.14, 0.104253
488.34, 0.104255
488.54, 0.104257
488.74, 0.104259
488.94, 0.104261
489.14, 0.104264
489.34, 0.104266
489.54, 0.104268
489.74, 0.10427
489.94, 0.104272
490.14, 0.104275
490.34, 0.104277
490.54, 0.104279
490.74, 0.104281
490.94, 0.104283
491.14, 0.104285
491.34, 0.104288
491.54, 0.10429
491.74, 0.104292
491.94, 0.104294
492.14, 0.104296
492.34, 0.104298
492.54, 0.104301
492.74, 0.104303
492.94, 0.104305
493.14, 0.104307
493.34, 0.104309
493.54, 0.104311
493.74, 0.104313
493.94, 0.104314
494.14, 0.104316
494.34, 0.104318
494.54, 0.10432
494.74, 0.104322
494.94, 0.104324
495.14, 0.104326
495.34, 0.104328
495.54, 0.10433
495.74, 0.104332
495.94, 0.104334
496.14, 0.104335
496.34, 0.104337
496.54, 0.104339
496.74, 0.104341
496.94, 0.104343
497.14, 0.104345
497.34, 0.104347
497.54, 0.104349
497.74, 0.104351
497.94, 0.104353
498.14, 0.104354
498.34, 0.104356
498.54, 0.104358
498.74, 0.10436
498.94, 0.104362
499.14, 0.104364
499.34, 0.104366
499.54, 0.104368
499.74, 0.10437
499.94, 0.104371
500.14, 0.104373
500.34, 0.104375
500.54, 0.104377
500.74, 0.104379
500.94, 0.104381
501.14, 0.104383
501.34, 0.104385
501.54, 0.104387
501.74, 0.104389
501.94, 0.104391
502.14, 0.104392
502.34, 0.104394
502.54, 0.104396
502.74, 0.104398
502.94, 0.1044
503.14, 0.104402
503.34, 0.104404
503.54, 0.104406
503.74, 0.104408
503.94, 0.10441
504.14, 0.104411
504.34, 0.104413
504.54, 0.104415
504.74, 0.104417
504.94, 0.104419
505.14, 0.104421
505.34, 0.104423
505.54, 0.104425
505.74, 0.104427
505.94, 0.104429
506.14, 0.10443
506.34, 0.104432
506.54, 0.104434
506.74, 0.104436
506.94, 0.104438
507.14, 0.10444
507.34, 0.104442
507.54, 0.104444
507.74, 0.104446
507.94, 0.104448
508.14, 0.104449
508.34, 0.104451
508.54, 0.104453
508.74, 0.104455
508.94, 0.104457
509.14, 0.104459
509.34, 0.104461
509.54, 0.104463
509.74, 0.104465
509.94, 0.104467
510.14, 0.104468
510.34, 0.10447
510.54, 0.104472
510.74, 0.104474
510.94, 0.104476
511.14, 0.104478
511.34, 0.10448
511.54, 0.104482
511.74, 0.104484
511.94, 0.104486
512.14, 0.104488
512.34, 0.104489
512.54, 0.104491
512.74, 0.104493
512.94, 0.104495
513.14, 0.104497
513.34, 0.104499
513.54, 0.1045
513.74, 0.104501
513.94, 0.104501
514.14, 0.104501
514.34, 0.104502
514.54, 0.104502
514.74, 0.104503
514.94, 0.104503
515.14, 0.104503
515.34, 0.104504
515.54, 0.104504
515.74, 0.104505
515.94, 0.104505
516.14, 0.104505
516.34, 0.104506
516.54, 0.104506
516.74, 0.104507
516.94, 0.104507
517.14, 0.104507
517.34, 0.104508
517.54, 0.104508
517.74, 0.104509
517.94, 0.104509
518.14, 0.104509
518.34, 0.10451
518.54, 0.10451
518.74, 0.104511
518.94, 0.104511
519.14, 0.104511
519.34, 0.104512
519.54, 0.104512
519.74, 0.104513
519.94, 0.104513
520.14, 0.104513
520.34, 0.104514
520.54, 0.104514
520.74, 0.104515
520.94, 0.104515
521.14, 0.104515
521.34, 0.104516
521.54, 0.104516
521.74, 0.104517
521.94, 0.104517
522.14, 0.104518
522.34, 0.104518
522.54, 0.104518
522.74, 0.104519
522.94, 0.104519
523.14, 0.104519
523.34, 0.10452
523.54, 0.10452
523.74, 0.104521
523.94, 0.104521
524.14, 0.104522
524.34, 0.104522
524.54, 0.104522
524.74, 0.104523
524.94, 0.104523
525.14, 0.104524
525.34, 0.104524
525.54, 0.104524
525.74, 0.104525
525.94, 0.104525
526.14, 0.104526
526.34, 0.104526
526.54, 0.104526
526.74, 0.104527
526.94, 0.104527
527.14, 0.104528
527.34, 0.104528
527.54, 0.104528
527.74, 0.104529
527.94, 0.104529
528.14, 0.10453
528.34, 0.10453
528.54, 0.10453
528.74, 0.104531
528.94, 0.104531
529.14, 0.104532
529.34, 0.104532
529.54, 0.104532
529.74, 0.104533
529.94, 0.104533
530.14, 0.104534
530.34, 0.104534
530.54, 0.104534
530.74, 0.104535
530.94, 0.104535
531.14, 0.104536
531.34, 0.104536
531.54, 0.104536
531.74, 0.104537
531.94, 0.104537
532.14, 0.104538
532.34, 0.104538
532.54, 0.104538
532.74, 0.104539
532.94, 0.104539
533.14, 0.10454
